style_name,icon_name,icon_size,icon_color,icon_transparency,label_size,line_color,line_width,line_transparency,area_color,area_transparency
style_Boundary,style_Boundary,0.6,FFFFFF,0.8,0,FFFFFF,1,100,FFFFFF,40
style_Province,style_Province,0.6,FFFFFF,0.8,0,FFFFFF,1,100,FFFFFF,40
style_Buildings,style_Buildings,0.6,FFCCE6,0.8,0,E6CCFF,1,100,E6CCFF,40
style_Cemetery,style_Cemetery,0.6,FFCCE6,0.8,0,E6CCFF,1,100,E6CCFF,40
style_Habitations,style_Habitations,0.6,FFCCE6,0.8,0,E6CCFF,1,100,E6CCFF,40
style_HistoricAreas,style_HistoricAreas,0.6,FFCCE6,0.8,0,E6CCFF,1,100,E6CCFF,40
style_Industrial,style_Industrial,0.6,FFCCE6,0.8,0,E6CCFF,1,100,E6CCFF,40
style_Man-madeinfrastructure,style_Man-madeinfrastructure,0.6,FFCCE6,0.8,0,E6CCFF,1,100,E6CCFF,40
style_Mast,style_Mast,0.6,FFFFFF,0.8,0,FFFFFF,1,100,FFFFFF,40
style_Military,style_Military,0.6,FFCCE6,0.8,0,E6CCFF,1,100,E6CCFF,40
style_Settlements,style_Settlements,0.6,FFCCE6,0.8,0,E6CCFF,1,100,E6CCFF,40
style_Towns,style_Towns,0.6,FFCCE6,0.8,0,E6CCFF,1,100,E6CCFF,40
style_UrbanAreas,style_UrbanAreas,0.6,FFCCE6,0.8,0,E6CCFF,1,100,E6CCFF,40
style_BuiltUpAreas,style_BuiltUpAreas,0.6,FFCCE6,0.8,0,E6CCFF,1,100,E6CCFF,40
style_CommunicationTower,style_CommunicationTower,0.6,FFFFFF,0.8,0,FFFFFF,1,100,FFFFFF,40
style_Dam,style_Dam,0.6,FFFFFF,0.8,0,FFFFFF,1,100,FFFFFF,40
style_EducationalFacility,style_EducationalFacility,0.6,FFFFFF,0.8,0,FFFFFF,1,100,FFFFFF,40
style_Embankment,style_Embankment,0.6,FFFFFF,0.8,0,FFFFFF,1,100,FFFFFF,40
style_HealthcareFacility,style_HealthcareFacility,0.6,FFFFFF,0.8,0,FFFFFF,1,100,FFFFFF,40
style_Pipeline,style_Pipeline,0.6,FFFFFF,0.8,0,FFFFFF,1,100,FFFFFF,40
style_TouristAccomodation,style_TouristAccomodation,0.6,FFFFFF,0.8,0,FFFFFF,1,100,FFFFFF,40
style_Creamery,style_Creamery,0.6,FFCCE6,0.8,0,E6CCFF,1,100,E6CCFF,40
style_WeatherMonitoringStation,style_WeatherMonitoringStation,0.6,FFFFFF,0.8,0,FFFFFF,1,100,FFFFFF,40
style_BirdRisk,style_BirdRisk,0.6,FFFFFF,0.8,0,FFFFFF,1,100,FFFFFF,40
style_PalaeontologicalSite,style_PalaeontologicalSite,0.6,FFFFFF,0.8,0,FFFFFF,1,100,FFFFFF,40
style_DisasterProneArea,style_DisasterProneArea,0.6,DE7976,0.8,0,7679DE,1,100,7679DE,40
style_Volcano,style_Volcano,0.6,FFFFFF,0.8,0,FFFFFF,1,100,FFFFFF,40
style_Avalanche,style_Avalanche,0.6,FFFFFF,0.8,0,FFFFFF,1,100,FFFFFF,40
style_Biohazard,style_Biohazard,0.6,FFFFFF,0.8,0,FFFFFF,1,100,FFFFFF,40
style_Landslide,style_Landslide,0.6,FFFFFF,0.8,0,FFFFFF,1,100,FFFFFF,40
style_NuclearHazard,style_NuclearHazard,0.6,FFFFFF,0.8,0,FFFFFF,1,100,FFFFFF,40
style_Flooding,style_Flooding,0.6,FFFFFF,0.8,0,FFFFFF,1,100,FFFFFF,40
style_UnexplodedOrdnance,style_UnexplodedOrdnance,0.6,FFFFFF,0.8,0,FFFFFF,1,100,FFFFFF,40
